title,price,location,details,tags,image_url,url,price_shekels,rooms,area_sqm,floor,city,neighborhood,price_per_sqm
אנילביץ' 11,₪ 2 390 000,"דירה, לב העיר, בת ים",3 חדרים • קומה 10 • 85 מ״ר,"ממ""ד, חניה, נכס חדש",https://img.yad2.co.il/Pic/202506/19/2_5/o/y2_1pa_010750_20250619202015.jpeg,,2390000.0,3.0,85.0,10.0,בת ים,,28117.647058823528
שער הגיא 12,₪ 2 139 000,"גג/ פנטהאוז, אריאל",6 חדרים • קומה 2 • 159 מ״ר,"2 מרפסות, ממ""ד, חניה",https://img.yad2.co.il/Pic/202504/01/2_5/o/y2_1_CaWCFgwvmD_20250401.jpg,,2139000.0,6.0,2.0,2.0,Unknown,"פנטהאוז, אריאל",1069500.0
רות,₪ 2 290 000,"דירת גן, שעריה, פתח תקווה",4 חדרים • קומה 1 • 140 מ״ר,"חניה, חבל לפספס, בהזדמנות",https://img.yad2.co.il/Pic/202502/26/2_5/o/y2_1pa_010465_20250226160024.jpeg,,2290000.0,4.0,140.0,1.0,פתח תקווה,,16357.142857142857
המחנה הצבאי,₪ 1 850 000,"דירה, המחנה הצבאי, קרית מלאכי",4 חדרים • קומה 3 • 120 מ״ר,"ממ""ד, חניה, נכס חדש",https://img.yad2.co.il/Pic/202503/17/2_5/o/y2_1pa_010153_20250317173024.jpeg,,1850000.0,4.0,120.0,3.0,קרית מלאכי,,15416.666666666666
דירה,₪ 1 389 000,"דירה, נתיבות",4 חדרים • קומה 3 • 122 מ״ר,"ממ""ד, חניה, בניין משופץ",https://img.yad2.co.il/Pic/202507/21/2_5/o/y2_1pa_010065_20250721185653.jpeg,,1389000.0,4.0,122.0,3.0,נתיבות,,11385.245901639344
החרוב 221,₪ 4 000 000,"בית פרטי/ קוטג', לימן, לימן",8.5 חדרים • קומה קרקע • 560 מ״ר,"2 מרפסות, 3 חדרי מקלחת, 4 כיווני אוויר",https://img.yad2.co.il/Pic/202509/14/2_1/o/y2_1_01600_20250914231811.jpeg,,4000000.0,3.0,2.0,4.0,Unknown,"קוטג', לימן, לימן",2000000.0
מקלב 8,₪ 3 200 000,"דירה, ליבת העיר, יהוד מונוסון",4 חדרים • קומה 7 • 120 מ״ר,"ממ""ד, נוף פתוח לפארק, חניה",https://img.yad2.co.il/Pic/202509/02/2_1/o/y2_1_08769_20250902215844.jpeg,,3200000.0,4.0,120.0,7.0,יהוד מונוסון,,26666.666666666668
דן 16,₪ 2 555 000,"בית פרטי/ קוטג', שיכון ה', קרית שמונה",8 חדרים • קומה קרקע • 700 מ״ר,"3 מרפסות, 3 חדרי מקלחת, 4 כיווני אוויר",https://img.yad2.co.il/Pic/202508/22/2_1/o/y2_1pa_010710_20250822011747.jpeg,,2555000.0,3.0,3.0,4.0,Unknown,"קוטג', שיכון ה', קרית שמונה",851666.6666666666
הרצל 62,₪ 3 750 000,"דירה, עצמאות יוספטל, בת ים",5 חדרים • קומה 8 • 120 מ״ר,"ממ""ד, 4 כיווני אוויר, חניה",https://img.yad2.co.il/Pic/202509/02/2_1/o/y2_1pa_010144_20250902053831.jpeg,,3750000.0,5.0,120.0,8.0,בת ים,,31250.0
גדעון האוזנר 55,₪ 1 820 000,"דירה, רמות הרכס, באר שבע",5 חדרים • קומה 3 • 150 מ״ר,"3 חדרי מקלחת, נוף פתוח לפארק, חניה",https://img.yad2.co.il/Pic/202507/01/2_1/o/y2_1pa_010132_20250701162724.jpeg,,1820000.0,3.0,150.0,3.0,באר שבע,,12133.333333333334
הלוטם 1,₪ 3 800 000,"דירה, רמת פולג, נתניה",5 חדרים • קומה 15 • 159 מ״ר,"3 חדרי מקלחת, ממ""ד, חניה",https://img.yad2.co.il/Pic/202509/02/2_1/o/y2_1pa_010342_20250902094306.jpeg,,3800000.0,3.0,159.0,15.0,נתניה,,23899.37106918239
ציפורן 5,₪ 2 050 000,"גג/ פנטהאוז, נווה נוף, אקדמאים, לוד",4.5 חדרים • קומה 3 • 160 מ״ר,"2 מרפסות, 3 כיווני אוויר, חניה",https://img.yad2.co.il/Pic/202509/03/2_1/o/y2_1pa_010212_20250903191250.jpeg,,2050000.0,4.5,2.0,3.0,Unknown,"פנטהאוז, נווה נוף, אקדמאים, לוד",1025000.0
